sample_id,algo,strategy,cost
4,greedy_first_fit,largest_edge_desc,4172.0916
4,greedy_first_fit,largest_face_desc,4172.0916
4,greedy_first_fit,sim_anneal_100_desc,4162.202899999999
4,greedy_first_fit,sim_anneal_10_desc,4170.3332
4,greedy_first_fit,sim_anneal_100_rand,4162.202899999999
4,greedy_first_fit,sim_anneal_10_rand,4170.4876
4,shelf,random,4173.2535
4,shelf,volume_desc,4175.3438
4,shelf,volume_asc,4216.944399999999
4,shelf,largest_edge_desc,4216.567
4,shelf,largest_face_desc,4216.567
4,shelf,sim_anneal_100_desc,4175.3438
4,shelf,sim_anneal_10_desc,4173.0961
4,shelf,sim_anneal_100_rand,4173.0961
4,shelf,sim_anneal_10_rand,4173.0961
4,extreme_points,random,5321.6975
4,extreme_points,volume_desc,4216.567
4,extreme_points,volume_asc,5367.1502
4,extreme_points,largest_edge_desc,4222.1822
4,extreme_points,largest_face_desc,4222.1822
4,extreme_points,sim_anneal_100_desc,4164.2237000000005
4,extreme_points,sim_anneal_10_desc,4186.1386
4,extreme_points,sim_anneal_100_rand,4169.3662
4,extreme_points,sim_anneal_10_rand,4169.6925
5,greedy_no_rotation,random,5352.7206
5,greedy_no_rotation,volume_desc,5351.7675
5,greedy_no_rotation,volume_asc,5344.5418
5,greedy_no_rotation,largest_edge_desc,5351.7675
5,greedy_no_rotation,largest_face_desc,5351.7675
5,greedy_no_rotation,sim_anneal_100_desc,5329.8334
5,greedy_no_rotation,sim_anneal_10_desc,5351.7675
5,greedy_no_rotation,sim_anneal_100_rand,5329.8334
5,greedy_no_rotation,sim_anneal_10_rand,5329.8334
5,greedy_larges_face_up,random,4181.973
5,greedy_larges_face_up,volume_desc,5353.316
5,greedy_larges_face_up,volume_asc,4181.973
5,greedy_larges_face_up,largest_edge_desc,4208.403399999999
5,greedy_larges_face_up,largest_face_desc,4208.403399999999
5,greedy_larges_face_up,sim_anneal_100_desc,4180.3548
5,greedy_larges_face_up,sim_anneal_10_desc,4180.3548
5,greedy_larges_face_up,sim_anneal_100_rand,4180.3548
5,greedy_larges_face_up,sim_anneal_10_rand,4181.973
5,greedy_min_sum_slack,random,4216.807699999999
5,greedy_min_sum_slack,volume_desc,5353.2094
5,greedy_min_sum_slack,volume_asc,4220.519399999999
5,greedy_min_sum_slack,largest_edge_desc,4181.2833
5,greedy_min_sum_slack,largest_face_desc,4181.2833
5,greedy_min_sum_slack,sim_anneal_100_desc,4181.2316
5,greedy_min_sum_slack,sim_anneal_10_desc,4181.2833
5,greedy_min_sum_slack,sim_anneal_100_rand,4185.6794
5,greedy_min_sum_slack,sim_anneal_10_rand,4181.2316
5,greedy_first_fit,random,4207.784799999999
5,greedy_first_fit,volume_desc,5354.8595
5,greedy_first_fit,volume_asc,4222.360299999999
5,greedy_first_fit,largest_edge_desc,4182.0361
5,greedy_first_fit,largest_face_desc,4182.0361
5,greedy_first_fit,sim_anneal_100_desc,4181.2316
5,greedy_first_fit,sim_anneal_10_desc,4182.0361
5,greedy_first_fit,sim_anneal_100_rand,4181.2316
5,greedy_first_fit,sim_anneal_10_rand,4181.2316
5,shelf,random,5352.8169
5,shelf,volume_desc,5353.316
5,shelf,volume_asc,5352.8169
5,shelf,largest_edge_desc,5367.497399999999
5,shelf,largest_face_desc,5367.497399999999
5,shelf,sim_anneal_100_desc,4195.8008
5,shelf,sim_anneal_10_desc,4223.3912
5,shelf,sim_anneal_100_rand,4201.1746
5,shelf,sim_anneal_10_rand,4220.2635
5,extreme_points,random,5392.6296
5,extreme_points,volume_desc,5392.5724
5,extreme_points,volume_asc,5395.339400000001
5,extreme_points,largest_edge_desc,4189.5187
5,extreme_points,largest_face_desc,4189.5187
5,extreme_points,sim_anneal_100_desc,4185.6794
5,extreme_points,sim_anneal_10_desc,4189.5187
5,extreme_points,sim_anneal_100_rand,4185.6794
5,extreme_points,sim_anneal_10_rand,4185.6794
6,greedy_no_rotation,random,5388.9508
6,greedy_no_rotation,volume_desc,5388.9508
6,greedy_no_rotation,volume_asc,5388.9508
6,greedy_no_rotation,largest_edge_desc,5388.9508
6,greedy_no_rotation,largest_face_desc,5388.9508
6,greedy_no_rotation,sim_anneal_100_desc,5388.9508
6,greedy_no_rotation,sim_anneal_10_desc,5388.9508
6,greedy_no_rotation,sim_anneal_100_rand,5388.9508
6,greedy_no_rotation,sim_anneal_10_rand,5388.9508
6,greedy_larges_face_up,random,4273.1382
6,greedy_larges_face_up,volume_desc,4273.1382
6,greedy_larges_face_up,volume_asc,4266.468000000001
6,greedy_larges_face_up,largest_edge_desc,4273.1382
6,greedy_larges_face_up,largest_face_desc,4273.1382
6,greedy_larges_face_up,sim_anneal_100_desc,4252.2082
6,greedy_larges_face_up,sim_anneal_10_desc,4252.2082
6,greedy_larges_face_up,sim_anneal_100_rand,4252.2082
6,greedy_larges_face_up,sim_anneal_10_rand,4252.2082
6,greedy_min_sum_slack,random,4306.679
6,greedy_min_sum_slack,volume_desc,4265.8425
6,greedy_min_sum_slack,volume_asc,4265.8425
6,greedy_min_sum_slack,largest_edge_desc,4265.8425
6,greedy_min_sum_slack,largest_face_desc,4265.8425
6,greedy_min_sum_slack,sim_anneal_100_desc,3214.7812
6,greedy_min_sum_slack,sim_anneal_10_desc,4265.8425
6,greedy_min_sum_slack,sim_anneal_100_rand,3215.3688
6,greedy_min_sum_slack,sim_anneal_10_rand,4265.8425
6,greedy_first_fit,random,4256.847
6,greedy_first_fit,volume_desc,3217.8878
6,greedy_first_fit,volume_asc,4249.7333
6,greedy_first_fit,largest_edge_desc,3217.8878
6,greedy_first_fit,largest_face_desc,3217.8878
6,greedy_first_fit,sim_anneal_100_desc,3215.286
6,greedy_first_fit,sim_anneal_10_desc,3216.951
6,greedy_first_fit,sim_anneal_100_rand,3216.951
6,greedy_first_fit,sim_anneal_10_rand,3216.951
6,shelf,random,4263.2221
6,shelf,volume_desc,4263.7596
6,shelf,volume_asc,4294.376300000001
6,shelf,largest_edge_desc,4263.7596
6,shelf,largest_face_desc,4263.7596
6,shelf,sim_anneal_100_desc,4250.4143
6,shelf,sim_anneal_10_desc,4263.7596
6,shelf,sim_anneal_100_rand,4250.4143
6,shelf,sim_anneal_10_rand,4263.2221
6,extreme_points,random,4388.4245
6,extreme_points,volume_desc,4306.5608
6,extreme_points,volume_asc,4280.3142
6,extreme_points,largest_edge_desc,4306.5608
6,extreme_points,largest_face_desc,4306.5608
6,extreme_points,sim_anneal_100_desc,3214.7812
6,extreme_points,sim_anneal_10_desc,3218.6734
6,extreme_points,sim_anneal_100_rand,3214.7812
6,extreme_points,sim_anneal_10_rand,3219.6668999999997
7,greedy_no_rotation,random,17236.295599999998
7,greedy_no_rotation,volume_desc,8770.0
7,greedy_no_rotation,volume_asc,17251.2897
7,greedy_no_rotation,largest_edge_desc,8770.0
7,greedy_no_rotation,largest_face_desc,8770.0
7,greedy_no_rotation,sim_anneal_100_desc,8770.0
7,greedy_no_rotation,sim_anneal_10_desc,8770.0
7,greedy_no_rotation,sim_anneal_100_rand,8770.0
7,greedy_no_rotation,sim_anneal_10_rand,17219.755400000002
7,greedy_larges_face_up,random,12565.6318
7,greedy_larges_face_up,volume_desc,8362.421600000001
7,greedy_larges_face_up,volume_asc,12567.150999999998
7,greedy_larges_face_up,largest_edge_desc,8337.6008
7,greedy_larges_face_up,largest_face_desc,8337.6008
7,greedy_larges_face_up,sim_anneal_100_desc,8328.833799999999
7,greedy_larges_face_up,sim_anneal_10_desc,8337.6008
7,greedy_larges_face_up,sim_anneal_100_rand,8331.2482
7,greedy_larges_face_up,sim_anneal_10_rand,8342.890200000002
7,greedy_min_sum_slack,random,12568.611799999999
7,greedy_min_sum_slack,volume_desc,8375.2644
7,greedy_min_sum_slack,volume_asc,12563.3478
7,greedy_min_sum_slack,largest_edge_desc,8375.5162
7,greedy_min_sum_slack,largest_face_desc,8375.5162
7,greedy_min_sum_slack,sim_anneal_100_desc,8337.513799999999
7,greedy_min_sum_slack,sim_anneal_10_desc,8341.939
7,greedy_min_sum_slack,sim_anneal_100_rand,8327.4609
7,greedy_min_sum_slack,sim_anneal_10_rand,8333.1052
7,greedy_first_fit,random,8341.204
7,greedy_first_fit,volume_desc,8395.7938
7,greedy_first_fit,volume_asc,8370.2295
7,greedy_first_fit,largest_edge_desc,8368.904199999999
7,greedy_first_fit,largest_face_desc,8368.904199999999
7,greedy_first_fit,sim_anneal_100_desc,8332.0888
7,greedy_first_fit,sim_anneal_10_desc,8355.8135
7,greedy_first_fit,sim_anneal_100_rand,8324.9914
7,greedy_first_fit,sim_anneal_10_rand,8341.204
7,shelf,random,13766.3765
7,shelf,volume_desc,8356.297400000001
7,shelf,volume_asc,13755.9234
7,shelf,largest_edge_desc,8367.643100000001
7,shelf,largest_face_desc,8367.571600000001
7,shelf,sim_anneal_100_desc,8337.5615
7,shelf,sim_anneal_10_desc,8364.0113
7,shelf,sim_anneal_100_rand,8326.9542
7,shelf,sim_anneal_10_rand,8344.901100000001
7,extreme_points,random,12558.287199999999
7,extreme_points,volume_desc,8430.628499999999
7,extreme_points,volume_asc,8369.308799999999
7,extreme_points,largest_edge_desc,8426.8642
7,extreme_points,largest_face_desc,8419.1705
7,extreme_points,sim_anneal_100_desc,8349.1948
7,extreme_points,sim_anneal_10_desc,8382.8529
7,extreme_points,sim_anneal_100_rand,8343.4465
7,extreme_points,sim_anneal_10_rand,8339.739800000001
8,greedy_no_rotation,random,16921.3503
8,greedy_no_rotation,volume_desc,12502.293300000001
8,greedy_no_rotation,volume_asc,16786.735699999997
8,greedy_no_rotation,largest_edge_desc,16717.3134
8,greedy_no_rotation,largest_face_desc,13677.0533
8,greedy_no_rotation,sim_anneal_100_desc,8304.4442
8,greedy_no_rotation,sim_anneal_10_desc,8312.4077
8,greedy_no_rotation,sim_anneal_100_rand,8308.5316
8,greedy_no_rotation,sim_anneal_10_rand,16729.686500000003
8,greedy_larges_face_up,random,12544.830399999999
8,greedy_larges_face_up,volume_desc,8342.5441
8,greedy_larges_face_up,volume_asc,16836.245199999998
8,greedy_larges_face_up,largest_edge_desc,8323.9979
8,greedy_larges_face_up,largest_face_desc,8327.9893
8,greedy_larges_face_up,sim_anneal_100_desc,8306.412
8,greedy_larges_face_up,sim_anneal_10_desc,8310.7246
8,greedy_larges_face_up,sim_anneal_100_rand,8308.759
8,greedy_larges_face_up,sim_anneal_10_rand,12477.3161
8,greedy_min_sum_slack,random,12543.038799999998
8,greedy_min_sum_slack,volume_desc,8321.8232
8,greedy_min_sum_slack,volume_asc,13736.8656
8,greedy_min_sum_slack,largest_edge_desc,8307.445399999999
8,greedy_min_sum_slack,largest_face_desc,8307.5112
8,greedy_min_sum_slack,sim_anneal_100_desc,8305.8236
8,greedy_min_sum_slack,sim_anneal_10_desc,8307.5112
8,greedy_min_sum_slack,sim_anneal_100_rand,8304.9489
8,greedy_min_sum_slack,sim_anneal_10_rand,8306.883199999998
8,greedy_first_fit,random,13648.898700000002
8,greedy_first_fit,volume_desc,8311.2036
8,greedy_first_fit,volume_asc,13727.9442
8,greedy_first_fit,largest_edge_desc,8323.6276
8,greedy_first_fit,largest_face_desc,8317.9508
8,greedy_first_fit,sim_anneal_100_desc,8306.3995
8,greedy_first_fit,sim_anneal_10_desc,8306.350499999999
8,greedy_first_fit,sim_anneal_100_rand,8304.8025
8,greedy_first_fit,sim_anneal_10_rand,8307.624399999999
8,shelf,random,8311.1579
8,shelf,volume_desc,8312.597600000001
8,shelf,volume_asc,16788.777599999998
8,shelf,largest_edge_desc,8320.2391
8,shelf,largest_face_desc,13693.2848
8,shelf,sim_anneal_100_desc,8306.9026
8,shelf,sim_anneal_10_desc,12544.3157
8,shelf,sim_anneal_100_rand,8306.181499999999
8,shelf,sim_anneal_10_rand,8304.0575
8,extreme_points,random,12547.323
8,extreme_points,volume_desc,8329.9687
8,extreme_points,volume_asc,13702.7238
8,extreme_points,largest_edge_desc,8315.483
8,extreme_points,largest_face_desc,8340.701
8,extreme_points,sim_anneal_100_desc,8306.0796
8,extreme_points,sim_anneal_10_desc,8322.9006
8,extreme_points,sim_anneal_100_rand,8306.333299999998
8,extreme_points,sim_anneal_10_rand,12536.0687
9,greedy_no_rotation,random,8359.871799999999
9,greedy_no_rotation,volume_desc,8361.456199999999
9,greedy_no_rotation,volume_asc,16782.8784
9,greedy_no_rotation,largest_edge_desc,8361.456199999999
9,greedy_no_rotation,largest_face_desc,8361.456199999999
9,greedy_no_rotation,sim_anneal_100_desc,8327.9193
9,greedy_no_rotation,sim_anneal_10_desc,8339.4848
9,greedy_no_rotation,sim_anneal_100_rand,8320.1028
9,greedy_no_rotation,sim_anneal_10_rand,8321.136400000001
9,greedy_larges_face_up,random,8359.395799999998
9,greedy_larges_face_up,volume_desc,8358.1696
9,greedy_larges_face_up,volume_asc,16853.321799999998
9,greedy_larges_face_up,largest_edge_desc,8358.1696
9,greedy_larges_face_up,largest_face_desc,8358.1696
9,greedy_larges_face_up,sim_anneal_100_desc,8318.1104
9,greedy_larges_face_up,sim_anneal_10_desc,8358.1696
9,greedy_larges_face_up,sim_anneal_100_rand,8334.4972
9,greedy_larges_face_up,sim_anneal_10_rand,8330.7012
9,greedy_min_sum_slack,random,8361.686899999999
9,greedy_min_sum_slack,volume_desc,8339.5013
9,greedy_min_sum_slack,volume_asc,16771.3857
9,greedy_min_sum_slack,largest_edge_desc,8339.5013
9,greedy_min_sum_slack,largest_face_desc,8339.5013
9,greedy_min_sum_slack,sim_anneal_100_desc,8319.2741
9,greedy_min_sum_slack,sim_anneal_10_desc,8338.9038
9,greedy_min_sum_slack,sim_anneal_100_rand,8322.527
9,greedy_min_sum_slack,sim_anneal_10_rand,8328.8161
9,greedy_first_fit,random,8334.416599999999
9,greedy_first_fit,volume_desc,8399.028900000001
9,greedy_first_fit,volume_asc,16922.899100000002
9,greedy_first_fit,largest_edge_desc,8402.608
9,greedy_first_fit,largest_face_desc,8402.7186
9,greedy_first_fit,sim_anneal_100_desc,8317.9945
9,greedy_first_fit,sim_anneal_10_desc,8333.458799999999
9,greedy_first_fit,sim_anneal_100_rand,8316.9627
9,greedy_first_fit,sim_anneal_10_rand,8332.733699999999
9,shelf,random,8355.6178
9,shelf,volume_desc,8356.5619
9,shelf,volume_asc,16815.8605
9,shelf,largest_edge_desc,8356.6545
9,shelf,largest_face_desc,8356.5619
9,shelf,sim_anneal_100_desc,8330.4564
9,shelf,sim_anneal_10_desc,8343.726
9,shelf,sim_anneal_100_rand,8341.793
9,shelf,sim_anneal_10_rand,8338.2079
9,extreme_points,random,8345.096800000001
9,extreme_points,volume_desc,8338.8977
9,extreme_points,volume_asc,16863.2255
9,extreme_points,largest_edge_desc,8338.8977
9,extreme_points,largest_face_desc,8338.8977
9,extreme_points,sim_anneal_100_desc,8317.8773
9,extreme_points,sim_anneal_10_desc,8338.8977
9,extreme_points,sim_anneal_100_rand,8329.545900000001
9,extreme_points,sim_anneal_10_rand,8345.096800000001
10,greedy_no_rotation,random,8770.0
10,greedy_no_rotation,volume_desc,8770.0
10,greedy_no_rotation,volume_asc,34229.220199999996
10,greedy_no_rotation,largest_edge_desc,8770.0
